transform,video_id,spread,w2_barycenter,w2_mean,gap_pct,bary_wins
z-score exp tau=0.5,video_12,55.00812631578948,25.8262,31.849200000000003,18.910993054770614,True
z-score exp tau=0.5,video_13,44.92206315789474,37.85,43.411199999999994,12.810518944419856,True
z-score exp tau=0.5,video_14,60.67814210526316,37.3572,45.754999999999995,18.35384111026117,True
z-score exp tau=0.5,video_15,52.018926315789464,34.6914,38.4144,9.691678120704733,True
z-score exp tau=0.5,video_16,47.43721052631579,25.6894,30.945000000000004,16.983680723864936,True
z-score exp tau=0.5,video_17,52.69971052631579,26.353199999999998,32.5964,19.15303530451217,True
z-score exp tau=0.5,video_18,42.863789473684214,18.6008,22.6772,17.97576420369358,True
z-score exp tau=0.5,video_19,54.108668421052634,17.3672,18.8074,7.657624126673548,True
z-score exp tau=0.5,video_20,45.783963157894725,37.7386,41.806200000000004,9.729657323554893,True
z-score exp tau=0.5,video_21,60.5193947368421,28.989800000000002,35.142199999999995,17.507156637888333,True
z-score exp tau=0.5,video_22,44.798978947368425,27.937800000000003,32.9174,15.127561715080772,True
z-score exp tau=0.5,video_23,51.877621052631575,29.6358,36.9022,19.690966934220725,True
z-score exp tau=0.5,video_24,47.63183157894736,17.762,20.2572,12.31759571905298,True
z-score exp tau=0.5,video_25,61.6821,36.596,44.1208,17.054994469728577,True
z-score exp tau=0.5,video_26,55.23792105263157,29.053800000000006,39.7248,26.8623127114548,True
z-score exp tau=0.5,video_27,70.60603684210525,61.9894,69.83619999999999,11.236006541020256,True
z-score exp tau=0.5,video_28,33.73318947368421,26.600600000000004,28.420799999999996,6.404464335979258,True
z-score exp tau=0.5,video_29,28.51366315789474,17.6744,18.688200000000002,5.424813518690956,True
z-score exp tau=0.5,video_30,66.45585789473685,52.0952,59.123000000000005,11.886744583326296,True
z-score exp tau=0.5,video_31,45.01957368421052,19.5912,24.392599999999998,19.683838541196913,True
z-score exp tau=0.5,video_32,31.34987894736842,13.0806,15.455000000000002,15.363312843739898,True
z-score exp tau=0.5,video_33,57.197605263157904,35.554,40.4454,12.093835145653147,True
z-score exp tau=0.5,video_34,53.69465789473684,41.1744,48.78340000000001,15.597518828125978,True
z-score exp tau=0.5,video_35,49.06727368421052,32.3902,39.1822,17.33440184573608,True
z-score exp tau=0.5,video_36,48.90994736842105,36.5866,40.001599999999996,8.53715851365945,True
z-score exp tau=0.5,video_37,52.33753157894736,38.504599999999996,45.373,15.137636920635625,True
z-score exp tau=0.5,video_38,54.10301052631579,29.650599999999997,36.6288,19.051129166120653,True
z-score exp tau=0.5,video_39,34.187647368421054,16.223599999999998,19.026400000000002,14.731110457049176,True
z-score exp tau=0.5,video_40,45.274773684210516,14.4744,15.8904,8.911040628303883,True
z-score exp tau=0.5,video_41,47.32718421052631,25.3426,32.26559999999999,21.45628781116729,True
z-score exp tau=0.5,video_42,36.40437894736842,18.6592,20.2338,7.782028091609092,True
z-score exp tau=0.5,video_43,40.642715789473684,12.727800000000002,12.9652,1.8310554407182102,True
z-score exp tau=0.5,video_44,39.08430526315789,19.168,21.819200000000002,12.150766297572792,True
z-score exp tau=0.5,video_45,50.727457894736844,26.8902,32.248000000000005,16.614363681468628,True
z-score exp tau=0.5,video_46,52.498115789473694,12.2544,10.8274,-13.179526017326408,False
z-score exp tau=0.5,video_47,35.88075263157895,17.05,19.9254,14.43082698465275,True
z-score exp tau=0.5,video_48,43.88483684210526,23.715399999999995,26.440999999999995,10.308233425362129,True
z-score exp tau=0.5,video_49,32.25946842105264,17.6124,21.6298,18.573449592691556,True
z-score exp tau=0.5,video_50,53.595631578947376,47.6238,54.102,11.974049018520562,True
